brand,type,model,cubic_capacity,max_power,max_torque,seats,weight,max_engine_speed,seconds_to_100,top_speed,sports_car,tau
'Audi','100','S3',1994,85,170.0,5,1231,5200,11.2,188,0,21.64421869
'Audi','100','S3',2226,101,188.0,5,1238,5700,11.8,196,0,18.83007537
'Audi','100','S3',2226,101,188.0,5,1238,5700,10.2,199,0,18.83007537
'Audi','100','S3',2226,121,240.0,5,1306,5500,9.2,212,1,16.58099522
'Audi','100','S3',2226,121,240.0,5,1306,5500,8.2,213,1,16.58099522
'Audi','100','S3',2309,100,190.0,5,1234,5600,11.7,196,0,19.13121888
'Audi','100','S3',2309,100,190.0,5,1234,5600,10,199,0,19.13121888
'Audi','100','S3',1781,55,138.0,5,1059,4600,14.9,165,0,27.97504205
'Audi','100','S3',1781,66,145.0,5,1084,5200,12,176,0,23.86287817
'Audi','100','S3',1781,66,150.0,5,1240,5200,12.9,176,0,27.29701931
'Audi','100','S3',1921,74,150.0,5,1120,5600,14.1,173,0,22.40988571
'Audi','100','S3',1921,74,150.0,5,1120,5600,12.2,176,0,22.40988571
'Audi','100','S3',1994,85,170.0,5,1210,5200,12.6,186,0,21.27498344
'Audi','100','S3',1994,85,170.0,5,1210,5200,10.7,190,0,21.27498344
'Audi','100','S3',2144,100,180.0,5,1160,5700,13.3,193,0,17.65369756
'Audi','100','S3',2144,100,180.0,5,1160,5700,10.3,200,0,17.65369756
'Audi','100','S3',2226,101,188.0,5,1219,5700,9.7,202,0,18.54108391
'Audi','100','S3',2226,121,240.0,5,1266,5500,8,216,1,16.07315463
'Audi','100','S3',2309,100,190.0,5,1223,5600,11.5,198,0,18.96068127
'Audi','100','S3',2309,100,190.0,5,1223,5600,9.8,201,0,18.96068127
'Audi','100','S3 [Facelift]',1994,85,172.0,5,1263,5400,12.8,184,0,22.20686288
'Audi','100','S3 [Facelift]',1994,85,172.0,5,1245,5400,10.9,188,0,21.89037552
'Audi','100','S3 [Facelift]',2226,121,240.0,5,1303,5500,9.4,209,1,16.54290718
'Audi','100','S3 [Facelift]',1994,85,172.0,5,1244,5400,12.6,186,0,21.87279289
'Audi','100','S3 [Facelift]',1994,85,172.0,5,1230,5400,10.7,190,0,21.62663606
'Audi','200','44/44Q',2144,134,252.0,5,1449,5700,8.1,230,1,16.45664421
'Audi','200','44/44Q',2226,147,270.0,5,1450,5800,8.2,213,1,15.15316859
'Audi','200','44/44Q',2226,162,309.0,5,1450,5900,6.7,238,1,13.75009742
'Audi','200','44/44Q',2144,134,252.0,5,1290,5700,8.9,223,1,14.65084267
'Audi','200','44/44Q',2226,147,270.0,5,1410,5800,7.5,231,1,14.73515014
'Audi','200','44/44Q',2226,162,309.0,5,1290,5900,6.6,242,1,12.23284529
'Audi','200','44/44Q',2226,121,240.0,5,1300,5500,8,208,1,16.50481913
'Audi','200','44/44Q',2226,147,270.0,5,1290,5800,8,222,1,13.48109481
'Audi','80','8A/B3',1595,51,118.0,5,1025,5200,14,168,0,28.40634509
'Audi','80','8A/B3',1781,65,142.0,5,1050,5200,12,182,0,23.47001785
'Audi','80','8A/B3',1984,83,170.0,5,1080,5300,10,196,0,19.42238585
'Audi','80','8A/B3',1984,101,181.0,5,1110,5800,9,208,1,16.40433084
'Audi','80','8A/B3',1984,82,168.0,5,1080,5300,10,196,0,19.65924421
'Audi','80','8A/B3',1984,82,170.0,5,1080,5300,10,196,0,19.65924421
'Audi','80','B2',1272,43,95.0,5,890,5800,16.9,148,0,27.64488747
'Audi','80','B2',1588,80,140.0,5,930,6100,10.2,180,1,16.4125886
'Audi','80','B2',1588,54,119.0,5,930,5600,13.8,160,0,24.31494608
'Audi','80','B2',1588,62,124.0,5,930,5600,12.1,165,0,21.17753368
'Audi','80','B2',1781,65,145.0,5,950,5400,11,170,0,21.23477805
'Audi','80','B2',1781,81,160.0,5,980,5800,9.2,187,0,17.57836728
'Audi','80','B2',1921,83,154.0,5,1000,5900,13.5,175,0,17.83919474
'Audi','80','B2',1897,83,154.0,5,1000,5900,10.3,181,0,17.78321331
'Audi','80','B2',1994,83,165.0,5,1055,5400,12.2,178,0,18.99665578
'Audi','80','B2',1994,83,165.0,5,1070,5400,10.3,184,0,19.26675041
'Audi','80','B2',2144,99,176.0,5,1190,5900,9.1,193,0,18.29319061
'Audi','90','89/B3',1994,85,172.0,5,1170,5400,10,196,0,20.5716782
'Audi','90','89/B3',2226,100,189.0,5,1170,5700,9.2,206,0,17.97374804
'Audi','90','89/B3',2309,123,216.0,5,1200,6000,8.6,220,1,15.1252867
'Audi','90','89/B3',2309,98,186.0,5,1170,5500,9,206,0,18.50918375
'Audi','90','89/B3',2309,100,189.0,5,1170,5500,9.2,206,0,18.13900007
'Audi','Coupe','81/85',1781,66,145.0,5,980,5200,11,174,0,21.57345075
'Audi','Coupe','81/85',1994,85,165.0,5,1050,5400,9.9,186,0,18.46176249
'Audi','Coupe','81/85',2144,96,171.0,5,1137,5900,8.8,196,0,18.02465349
'Audi','Coupe','81/85',2226,85,165.0,5,1060,5500,9.5,188,0,19.15753939
'Audi','Coupe','81/85',2226,88,170.0,5,1200,5500,9.6,191,0,20.94842429
'Audi','Quattro','85',2134,221,330.0,5,990,6600,7,250,1,6.809465474
'Audi','Quattro','85',2144,147,285.0,5,1300,5500,7,220,1,13.45871852
'Audi','Quattro','85',2226,162,309.0,5,1380,5900,6,230,1,13.08629962
'Audi','S2','89/8B',2226,162,309.0,5,1444,5900,6.1,248,1,13.69320047
'Audi','S2','89/8B',2226,169,350.0,5,1463,5900,5.9,248,1,13.29873736
'Audi','S2','8C/B4',2226,169,350.0,5,1540,5900,6.1,242,1,13.9986709
'Audi','S4','4A/C4',2226,169,350.0,5,1748,5900,8.6,230,1,15.88940048
'Audi','S4','4A/C4',2226,169,350.0,5,1645,5900,7.1,235,1,14.95312574
'Audi','S4','4A/C4',4172,206,400.0,5,1730,5800,6.6,247,1,15.09511602
'Audi','S4','4A/C4',2226,169,350.0,5,1663,5900,8.3,239,1,15.11674657
'Audi','S4','4A/C4',2226,169,350.0,5,1595,5900,6.8,244,1,14.49862344
'Audi','S4','4A/C4',4172,206,400.0,5,1680,5800,6.2,249,1,14.65884099
'Audi','V8','1 generation',3562,184,340.0,5,1710,5800,7.6,245,1,16.05732745
